|   Term |   Total pay |   Interest pay |
|--------+-------------+----------------|
|      1 |    0.388333 |    0.055       |
|      2 |    0.387417 |    0.0540833   |
|      3 |    0.3865   |    0.0531667   |
|      4 |    0.385583 |    0.05225     |
|      5 |    0.384667 |    0.0513333   |
|      6 |    0.38375  |    0.0504167   |
|      7 |    0.382833 |    0.0495      |
|      8 |    0.381917 |    0.0485833   |
|      9 |    0.381    |    0.0476667   |
|     10 |    0.380083 |    0.04675     |
|     11 |    0.379167 |    0.0458333   |
|     12 |    0.37825  |    0.0449167   |
|     13 |    0.377333 |    0.044       |
|     14 |    0.376417 |    0.0430833   |
|     15 |    0.3755   |    0.0421667   |
|     16 |    0.374583 |    0.04125     |
|     17 |    0.373667 |    0.0403333   |
|     18 |    0.37275  |    0.0394167   |
|     19 |    0.371833 |    0.0385      |
|     20 |    0.370917 |    0.0375833   |
|     21 |    0.37     |    0.0366667   |
|     22 |    0.369083 |    0.03575     |
|     23 |    0.368167 |    0.0348333   |
|     24 |    0.36725  |    0.0339167   |
|     25 |    0.366333 |    0.033       |
|     26 |    0.365417 |    0.0320833   |
|     27 |    0.3645   |    0.0311667   |
|     28 |    0.363583 |    0.03025     |
|     29 |    0.362667 |    0.0293333   |
|     30 |    0.36175  |    0.0284167   |
|     31 |    0.360833 |    0.0275      |
|     32 |    0.359917 |    0.0265833   |
|     33 |    0.359    |    0.0256667   |
|     34 |    0.358083 |    0.02475     |
|     35 |    0.357167 |    0.0238333   |
|     36 |    0.35625  |    0.0229167   |
|     37 |    0.355333 |    0.022       |
|     38 |    0.354417 |    0.0210833   |
|     39 |    0.3535   |    0.0201667   |
|     40 |    0.352583 |    0.01925     |
|     41 |    0.351667 |    0.0183333   |
|     42 |    0.35075  |    0.0174167   |
|     43 |    0.349833 |    0.0165      |
|     44 |    0.348917 |    0.0155833   |
|     45 |    0.348    |    0.0146667   |
|     46 |    0.347083 |    0.01375     |
|     47 |    0.346167 |    0.0128333   |
|     48 |    0.34525  |    0.0119167   |
|     49 |    0.344333 |    0.011       |
|     50 |    0.343417 |    0.0100833   |
|     51 |    0.3425   |    0.00916667  |
|     52 |    0.341583 |    0.00825     |
|     53 |    0.340667 |    0.00733333  |
|     54 |    0.33975  |    0.00641667  |
|     55 |    0.338833 |    0.0055      |
|     56 |    0.337917 |    0.00458333  |
|     57 |    0.337    |    0.00366667  |
|     58 |    0.336083 |    0.00275     |
|     59 |    0.335167 |    0.00183333  |
|     60 |    0.33425  |    0.000916667 |
